gas_ftir_scan64_replicate1,gas_ftir_scan64_replicate2,gas_ftir_scan64_replicate3,gas_ftir_scan64_replicate4,gas_ftir_scan64_replicate5,gas_ftir_scan64_replicate6,gas_ftir_scan64_replicate7,gas_ftir_scan64_replicate8,gas_ftir_scan64_replicate9,gas_ftir_scan64_replicate10,gas_ftir_scan64_replicate11,gas_ftir_scan64_replicate12,gas_ftir_scan64_replicate13
134.74,135.6,129.0,129.85,130.22,131.14,104.79,105.04,100.06,99.84,91.62,100.25,98.86
134.77,135.64,128.98,129.82,130.22,131.15,104.78,105.04,100.06,99.84,91.62,100.25,98.85
134.83,135.69,128.98,129.82,130.24,131.17,104.78,105.03,100.06,99.84,91.61,100.25,98.85
134.85,135.71,129.0,129.84,130.26,131.18,104.78,105.03,100.06,99.84,91.61,100.25,98.86
134.81,135.68,129.01,129.85,130.25,131.18,104.78,105.03,100.06,99.84,91.61,100.24,98.87
134.77,135.63,128.99,129.83,130.23,131.15,104.77,105.02,100.06,99.85,91.62,100.24,98.88
134.76,135.62,128.96,129.8,130.21,131.14,104.76,105.02,100.06,99.85,91.62,100.24,98.88
134.77,135.63,128.95,129.79,130.21,131.14,104.76,105.02,100.06,99.85,91.62,100.24,98.87
134.75,135.61,128.96,129.8,130.21,131.13,104.77,105.02,100.06,99.85,91.61,100.24,98.86
134.69,135.55,128.97,129.81,130.18,131.1,104.77,105.03,100.06,99.85,91.61,100.24,98.85
134.64,135.5,128.95,129.79,130.14,131.06,104.77,105.03,100.06,99.85,91.6,100.24,98.84
134.63,135.49,128.93,129.77,130.12,131.04,104.78,105.03,100.06,99.85,91.59,100.25,98.83
134.64,135.5,128.93,129.77,130.12,131.04,104.78,105.04,100.06,99.85,91.59,100.25,98.83
134.63,135.49,128.94,129.77,130.13,131.04,104.79,105.04,100.06,99.85,91.58,100.25,98.84
134.6,135.45,128.93,129.77,130.11,131.03,104.79,105.04,100.06,99.85,91.59,100.25,98.85
134.58,135.44,128.91,129.75,130.09,131.01,104.79,105.04,100.06,99.85,91.59,100.25,98.86
134.6,135.46,128.9,129.74,130.09,131.01,104.79,105.04,100.06,99.86,91.59,100.24,98.86
134.64,135.5,128.91,129.75,130.11,131.03,104.79,105.04,100.06,99.86,91.59,100.24,98.87
134.65,135.5,128.93,129.77,130.13,131.04,104.79,105.04,100.06,99.86,91.59,100.23,98.87
134.64,135.49,128.93,129.77,130.13,131.05,104.78,105.03,100.06,99.87,91.59,100.23,98.86
134.64,135.49,128.92,129.75,130.13,131.05,104.78,105.03,100.06,99.87,91.59,100.23,98.86
134.68,135.53,128.91,129.75,130.15,131.06,104.77,105.02,100.06,99.87,91.59,100.23,98.86
134.71,135.56,128.93,129.76,130.16,131.08,104.78,105.03,100.06,99.87,91.59,100.23,98.86
134.69,135.54,128.95,129.79,130.16,131.08,104.78,105.03,100.06,99.87,91.59,100.23,98.85
134.65,135.5,128.95,129.78,130.15,131.06,104.78,105.03,100.06,99.87,91.59,100.23,98.85
134.62,135.47,128.93,129.76,130.13,131.04,104.78,105.03,100.06,99.87,91.59,100.23,98.85
134.63,135.48,128.91,129.74,130.13,131.04,104.78,105.03,100.06,99.87,91.59,100.23,98.84
134.63,135.48,128.92,129.75,130.13,131.04,104.79,105.04,100.06,99.87,91.59,100.22,98.83
134.6,135.45,128.92,129.75,130.12,131.03,104.8,105.05,100.06,99.87,91.59,100.22,98.82
134.54,135.39,128.92,129.75,130.09,131.0,104.8,105.05,100.06,99.87,91.58,100.23,98.82
134.49,135.33,128.9,129.73,130.06,130.97,104.81,105.06,100.06,99.87,91.58,100.23,98.81
134.46,135.31,128.89,129.72,130.04,130.95,104.81,105.06,100.06,99.87,91.58,100.23,98.8
134.45,135.3,128.89,129.72,130.04,130.94,104.81,105.06,100.06,99.87,91.57,100.23,98.8
134.44,135.28,128.9,129.72,130.03,130.94,104.82,105.07,100.06,99.87,91.57,100.23,98.8
134.43,135.27,128.9,129.73,130.02,130.93,104.82,105.07,100.06,99.87,91.57,100.23,98.81
134.42,135.26,128.9,129.72,130.02,130.92,104.82,105.07,100.06,99.87,91.57,100.23,98.82
134.41,135.25,128.9,129.72,130.02,130.92,104.82,105.07,100.06,99.87,91.57,100.23,98.83
134.42,135.26,128.9,129.72,130.02,130.92,104.82,105.07,100.06,99.87,91.57,100.23,98.83
134.43,135.27,128.9,129.72,130.02,130.93,104.82,105.07,100.06,99.87,91.57,100.23,98.83
134.45,135.29,128.9,129.73,130.03,130.94,104.82,105.07,100.06,99.87,91.57,100.22,98.83
134.46,135.3,128.91,129.73,130.04,130.95,104.82,105.06,100.06,99.87,91.57,100.22,98.83
134.46,135.3,128.91,129.73,130.05,130.95,104.82,105.06,100.06,99.87,91.56,100.22,98.82
134.47,135.31,128.9,129.72,130.05,130.95,104.81,105.06,100.06,99.88,91.56,100.22,98.82
134.48,135.32,128.9,129.72,130.05,130.95,104.81,105.06,100.06,99.88,91.56,100.22,98.81
134.49,135.33,128.9,129.72,130.05,130.95,104.81,105.06,100.06,99.88,91.56,100.22,98.81
134.49,135.32,128.91,129.73,130.05,130.95,104.81,105.06,100.06,99.88,91.56,100.22,98.82
134.47,135.3,128.91,129.73,130.05,130.95,104.81,105.06,100.06,99.88,91.56,100.22,98.82
134.46,135.29,128.9,129.72,130.04,130.94,104.81,105.05,100.06,99.88,91.56,100.22,98.82
134.47,135.3,128.89,129.71,130.04,130.94,104.81,105.05,100.06,99.88,91.56,100.22,98.82
134.48,135.32,128.9,129.72,130.05,130.95,104.81,105.05,100.06,99.88,91.56,100.22,98.81
134.49,135.32,128.91,129.72,130.05,130.95,104.81,105.05,100.06,99.88,91.56,100.22,98.81
134.48,135.32,128.9,129.72,130.05,130.94,104.81,105.05,100.06,99.89,91.56,100.22,98.8
134.49,135.33,128.9,129.71,130.05,130.94,104.8,105.05,100.06,99.89,91.56,100.22,98.79
134.52,135.35,128.89,129.71,130.06,130.95,104.8,105.05,100.06,99.89,91.56,100.22,98.79
134.54,135.37,128.9,129.72,130.07,130.97,104.8,105.05,100.06,99.88,91.55,100.22,98.79
134.54,135.37,128.91,129.72,130.08,130.97,104.8,105.04,100.06,99.88,91.55,100.22,98.79
134.53,135.36,128.9,129.72,130.08,130.97,104.8,105.04,100.06,99.88,91.55,100.22,98.79
134.54,135.37,128.89,129.71,130.08,130.97,104.8,105.04,100.06,99.88,91.55,100.22,98.79
134.56,135.39,128.89,129.7,130.08,130.98,104.8,105.04,100.06,99.89,91.55,100.22,98.79
134.56,135.39,128.9,129.71,130.09,130.98,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.55,135.37,128.9,129.72,130.08,130.97,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.53,135.36,128.9,129.71,130.07,130.96,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.53,135.36,128.89,129.7,130.07,130.96,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.55,135.37,128.88,129.7,130.07,130.96,104.8,105.04,100.07,99.89,91.55,100.22,98.78
134.56,135.38,128.89,129.7,130.08,130.97,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.56,135.39,128.89,129.7,130.08,130.97,104.8,105.04,100.07,99.89,91.55,100.22,98.79
