protein_extract_24_scans_sample1,protein_extract_24_scans_sample2,protein_extract_24_scans_sample3,protein_extract_24_scans_sample4,protein_extract_24_scans_sample5,protein_extract_24_scans_sample6,protein_extract_24_scans_sample7,protein_extract_24_scans_sample8,protein_extract_24_scans_sample9,protein_extract_24_scans_sample10,protein_extract_24_scans_sample11,protein_extract_24_scans_sample12,protein_extract_24_scans_sample13,protein_extract_24_scans_sample14,protein_extract_24_scans_sample15
0.0015225,0.001465,0.0014925,0.00115,0.0004325,0.0007850000000000001,0.0008900000000000001,0.001145,0.000735,0.0011175,0.000605,0.0007475,0.0025674999999999995,0.0023225,0.0025375
0.00203,0.0018275000000000001,0.001645,0.0008225000000000001,0.00032500000000000004,0.0007375,0.0013824999999999998,0.0017725,0.001215,0.0011200000000000001,0.001095,0.0011625,0.0021425,0.002025,0.0021175
0.0022775,0.0020075,0.0016,0.00045,0.000375,0.00072,0.001605,0.0021625,0.0015525,0.0012425000000000001,0.0013775,0.0013900000000000002,0.0014650000000000002,0.0015674999999999999,0.001605
0.0018725,0.0016075,0.0013175,0.000255,0.0005200000000000001,0.0005,0.00146,0.002095,0.0016125000000000002,0.0014575,0.001305,0.0013124999999999999,0.0009475,0.0012125,0.0012875
0.0013025,0.00112,0.0009725,0.0002675,0.00057,0.00036250000000000003,0.0013349999999999998,0.0020724999999999997,0.00164,0.0014775,0.0012325,0.0011849999999999999,0.0006825,0.0011250000000000001,0.001165
0.001165,0.00112,0.0008174999999999999,0.00031499999999999996,0.00037,0.0004875,0.0014475,0.00244,0.0019025000000000001,0.0012675,0.00141,0.00128,0.0006724999999999999,0.00128,0.0012675
0.0009025000000000001,0.00093,0.0008449999999999999,0.0007475000000000001,0.00052,0.0007125,0.00157,0.0023799999999999997,0.002175,0.001505,0.0016,0.0013925,0.0008799999999999999,0.0015725,0.0015
0.0007525,0.0007650000000000001,0.0009649999999999999,0.0011949999999999999,0.000765,0.0008749999999999999,0.0016425,0.0021175,0.0021875,0.001775,0.00164,0.0013825,0.0010775000000000001,0.001825,0.0014975
0.0011675,0.00108,0.0011825,0.0011,0.0006125,0.0008350000000000001,0.0015975,0.0021449999999999998,0.001925,0.0015475,0.001465,0.0013074999999999999,0.00119,0.0018725,0.00131
0.0016025,0.0013050000000000002,0.00149,0.0010400000000000001,0.00057,0.00068,0.0013425,0.0018674999999999998,0.0015175000000000002,0.0013899999999999997,0.0011474999999999999,0.0010825000000000001,0.0014199999999999998,0.001905,0.0013024999999999998
0.00201,0.0015575,0.0016475,0.0010925000000000002,0.00067,0.0007525,0.0011825,0.001655,0.0013075,0.0013199999999999998,0.0010425,0.0008575000000000001,0.001585,0.0019749999999999998,0.0013775
0.0019925,0.00159,0.0014425,0.001235,0.00095,0.00107,0.0013224999999999999,0.0016950000000000001,0.001395,0.0013625,0.0011725,0.00086,0.0015049999999999998,0.0019575,0.0014724999999999999
0.0016849999999999999,0.0013974999999999999,0.0012374999999999999,0.0014024999999999999,0.0012775,0.00133,0.0015574999999999999,0.0017499999999999998,0.0015325,0.0014600000000000001,0.0012275,0.001005,0.0013675,0.0018825,0.0016225
0.00166,0.00145,0.0013475,0.0013874999999999998,0.0013800000000000002,0.0013275,0.001725,0.0017875,0.00164,0.001565,0.0012025,0.0011225,0.0012675000000000002,0.0016675,0.0016725
0.0018325000000000001,0.0017050000000000001,0.001605,0.0012924999999999998,0.0012699999999999999,0.00118,0.001665,0.0016600000000000002,0.0016375,0.00161,0.001115,0.001095,0.0010625,0.0012925,0.0015125
