protein_extract_48_scans_sample1,protein_extract_48_scans_sample2,protein_extract_48_scans_sample3
0.0036825000000000004,0.0031925,0.0030125000000000004
0.0035074999999999998,0.0031025,0.0027725
0.0034,0.0030425,0.002555
0.0034275,0.0033125000000000003,0.0027425
0.0037725000000000002,0.0034825,0.0030299999999999997
0.004302499999999999,0.003405,0.0031675
0.0045575,0.003695,0.0034400000000000003
0.0047675,0.004465,0.0038575
0.0052175,0.005072500000000001,0.0042
0.00591,0.005405,0.004574999999999999
0.0064375,0.0056099999999999995,0.0049525
0.006615,0.00571,0.005175
0.0066949999999999996,0.0058075,0.0052725
0.006847499999999999,0.006064999999999999,0.005375
0.0070575,0.006445,0.00554
0.007507499999999999,0.0068225000000000004,0.005795000000000001
0.007737500000000001,0.0070225,0.006025
0.007670000000000001,0.007107499999999999,0.0062
0.007922499999999999,0.0072975,0.0066099999999999996
0.008369999999999999,0.0075825,0.0071625000000000005
0.0085275,0.00772,0.007355
0.008315,0.0077,0.007209999999999999
0.0084825,0.007872500000000001,0.0073100000000000005
0.0092025,0.008355,0.007865
0.0098075,0.009070000000000002,0.00846
0.01026,0.0096325,0.008795
0.010765,0.010035,0.009075
0.011345000000000001,0.01054,0.0095275
0.011867500000000001,0.01089,0.009932499999999999
0.012105000000000001,0.0109025,0.01003
0.0122475,0.010950000000000001,0.010075
0.012695000000000001,0.0114125,0.01042
0.013215,0.011970000000000001,0.010902499999999999
0.01344,0.012375,0.0112525
0.0137275,0.012745,0.0116025
0.014245,0.0130775,0.01193
0.014600000000000002,0.013385,0.0122075
0.014839999999999999,0.0139475,0.0126175
0.0152625,0.014575,0.0130575
0.015715,0.0149075,0.013332499999999999
0.01618,0.015019999999999999,0.013510000000000001
0.01663,0.0151325,0.0137125
0.016822499999999997,0.015227500000000001,0.013900000000000001
0.01684,0.0153775,0.0141575
0.017077500000000002,0.0156975,0.0146325
0.01744,0.01606,0.0149725
0.0175375,0.0163175,0.014895
0.0177675,0.0167025,0.01501
0.0184425,0.0172775,0.015604999999999997
0.019112499999999998,0.0178425,0.0162
0.0195375,0.0182825,0.016565
0.019950000000000002,0.0186725,0.0169025
0.020445,0.0190225,0.017320000000000002
0.020855000000000002,0.0193225,0.01774
0.02114,0.01966,0.018105
0.0213525,0.0199225,0.018315
0.02137,0.0199775,0.0183125
0.0214525,0.02012,0.018425000000000004
0.0218625,0.020564999999999996,0.0188625
0.0223925,0.02111,0.019345
0.02284,0.02155,0.0196475
0.0231875,0.0218975,0.0198575
0.02357,0.022215000000000002,0.0201375
0.024017499999999997,0.022495,0.020532500000000002
0.024455,0.0228475,0.02101
0.0248775,0.023309999999999997,0.02149
0.0252275,0.0236725,0.021810000000000003
0.025404999999999997,0.0238125,0.021894999999999998
0.0255875,0.023964999999999997,0.0219525
0.025974999999999998,0.024304999999999997,0.02223
0.026430000000000002,0.0247425,0.022684999999999997
0.0268825,0.025167500000000002,0.023170000000000003
0.027374999999999997,0.025565,0.023540000000000002
0.027739999999999997,0.0258575,0.02372
0.0278525,0.026075,0.0238775
0.0280275,0.026415,0.024204999999999997
0.0283775,0.026824999999999998,0.0245675
0.028545,0.027034999999999997,0.024704999999999998
0.0286375,0.02708,0.0247425
0.028962500000000002,0.0272125,0.024932499999999996
0.0293875,0.0275475,0.025302500000000002
