protein_extract_24d_scans_sample1,protein_extract_24d_scans_sample2,protein_extract_24d_scans_sample3
0.0018825,0.00136,0.0019175
0.0017475000000000001,0.0010975,0.0016675000000000001
0.001565,0.00098,0.0013275000000000001
0.00151,0.0012224999999999998,0.00126
0.0016925,0.00157,0.0015
0.0020475,0.0017325,0.0018249999999999998
0.00219,0.001505,0.00176
0.001975,0.0010225,0.00132
0.00163,0.0007525,0.0010225
0.0012824999999999998,0.0007974999999999999,0.000905
0.00093,0.001005,0.0007650000000000001
0.0009375000000000001,0.0014625,0.001
0.0013700000000000001,0.001875,0.0016375
0.001675,0.0019125000000000001,0.00184
0.0020675,0.0022325,0.0020125
0.0026875,0.002915,0.002565
0.0029950000000000003,0.00309,0.0028150000000000002
0.00284,0.0027749999999999997,0.0026575
0.0023,0.0024925,0.0025275
0.00151,0.0022849999999999997,0.0025725
0.0010175,0.001925,0.0025900000000000003
0.0012075,0.00162,0.0023975
0.0016475,0.0014675,0.0019475
0.001915,0.00134,0.0015474999999999998
0.0019825,0.0012925,0.0015599999999999998
0.0020325,0.00139,0.0017824999999999998
0.0021775,0.0016150000000000001,0.0019749999999999998
0.0022449999999999996,0.0018325000000000001,0.0020225
0.0019775,0.0016350000000000002,0.0016675
0.0013775,0.00106,0.0010475
0.0010249999999999999,0.0008700000000000001,0.0009574999999999999
0.001475,0.001425,0.0017274999999999999
0.0021275,0.002,0.0023725
0.0025399999999999997,0.0022275000000000003,0.0024975
0.00272,0.0023425,0.0024375000000000004
0.002605,0.0023425000000000004,0.00235
0.0023925,0.002205,0.0023075
0.00238,0.002115,0.0023225
0.0024525000000000003,0.002095,0.002235
0.002455,0.0020975,0.0020100000000000005
0.00253,0.0021425000000000003,0.0019549999999999997
0.0026825,0.002205,0.0022424999999999997
0.0027599999999999994,0.0021575,0.002505
0.0027275000000000003,0.0020825,0.002465
0.0026925,0.0022099999999999997,0.00236
0.0026024999999999998,0.0024324999999999998,0.0022900000000000004
0.0023975000000000003,0.0024275,0.00217
0.0021574999999999997,0.0022424999999999997,0.0020724999999999997
0.0020800000000000003,0.002205,0.002265
0.0023675000000000002,0.0025025000000000004,0.002705
0.0029224999999999998,0.0030350000000000004,0.0032325
0.0034,0.0036325,0.003835
0.0035250000000000004,0.0039475000000000005,0.0040225
0.003505,0.00394,0.0038275
0.0036475,0.0038900000000000002,0.0038975000000000004
0.004027500000000001,0.003985,0.0043375
0.00442,0.0042825,0.004735
0.0046875,0.004735,0.0050375
0.0048874999999999995,0.005152500000000001,0.00535
0.0051975,0.0055175,0.00557
0.00567,0.006082499999999999,0.0058674999999999995
0.0059924999999999996,0.0066549999999999995,0.006495
0.0061,0.006875,0.007112500000000001
0.006205,0.006965,0.0073375
0.006285000000000001,0.00717,0.0074025
0.0063525,0.007565,0.007685
0.006560000000000001,0.0080275,0.008185
0.006975,0.00839,0.008687499999999999
0.0072875,0.008462500000000001,0.0089425
0.00716,0.008255,0.00878
0.006975,0.0084375,0.0088475
0.0075775,0.009577500000000001,0.00995
0.008615,0.010905,0.01115
0.0091975,0.0116425,0.0114575
0.009175,0.011852499999999998,0.011252499999999999
0.008865,0.011817499999999998,0.011305
0.0089,0.011895,0.011965
0.009492500000000001,0.012289999999999999,0.012915
0.010284999999999999,0.013027500000000001,0.01391
0.0109425,0.01398,0.014875
0.011407500000000001,0.0148975,0.0156825
0.011725,0.0156025,0.0162775
0.011969999999999998,0.015960000000000002,0.0165675
0.012209999999999999,0.0160525,0.016605
0.012477499999999999,0.016125,0.016665
0.0130825,0.01648,0.017155
0.0140275,0.01729,0.018165
0.014780000000000001,0.018215,0.0192425
0.015075,0.0189375,0.01997
0.01515,0.0194275,0.020384999999999997
0.015182500000000002,0.01993,0.02089
0.015335000000000001,0.0205825,0.021570000000000002
0.015585,0.0210175,0.0219525
0.0156875,0.02101,0.022002499999999998
0.01581,0.0210425,0.022245
0.0162975,0.0215975,0.0228975
0.0169375,0.0224275,0.023605
0.0174475,0.0230275,0.0241025
0.0179,0.023332500000000003,0.02449
0.018277500000000002,0.0235775,0.0248875
0.0183275,0.0238725,0.025365000000000002
0.0180575,0.024212499999999998,0.02586
0.01804,0.024625,0.026167500000000003
0.01848,0.02514,0.0264075
0.0190025,0.0257,0.026792499999999997
0.019467500000000002,0.026334999999999997,0.02738
0.0200125,0.0270425,0.027985
0.020460000000000002,0.027594999999999998,0.0283625
